time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
18.04884624481201,34,28,37,75,51,42,45,35,1
18.065104484558105,36,31,35,71,47,42,43,36,1
18.08593249320984,34,41,43,73,59,51,49,34,1
18.109233617782593,34,40,41,66,56,48,46,32,1
18.126763105392456,33,36,37,56,52,42,42,32,1
18.146551847457886,33,42,42,63,55,43,43,34,1
18.169134378433228,31,40,41,62,55,41,42,35,1
18.18663239479065,34,33,33,47,40,30,34,38,1
18.206149578094482,36,42,35,54,44,34,35,39,1
18.2290678024292,35,43,34,54,43,33,36,38,1
18.246461153030396,35,40,31,49,42,32,38,37,1
18.26680040359497,34,41,29,50,40,33,38,33,1
18.289010286331177,33,39,30,48,39,34,39,31,1
18.305910348892212,36,33,32,47,44,32,41,31,1
18.32592511177063,35,35,33,52,50,35,41,31,1
18.348962783813477,36,33,32,51,49,35,37,29,1
18.365115642547607,37,36,33,52,51,35,36,33,1
18.386067867279053,38,37,36,56,52,35,36,30,1
18.409016132354736,33,36,33,51,43,34,33,30,1
18.426711559295654,37,33,33,44,35,31,29,29,1
18.44606876373291,35,35,37,46,39,31,32,31,1
18.469482898712158,33,34,38,49,36,32,34,26,1
18.48577070236206,31,37,40,56,43,32,37,29,1
18.506423234939575,34,39,42,60,47,31,36,29,1
18.52895951271057,31,38,41,60,47,31,38,31,1
18.551761150360107,36,43,48,71,55,39,46,34,1
18.566717386245728,41,47,46,67,56,39,46,35,1
18.589115381240845,41,47,49,69,57,44,50,34,1
18.6062331199646,40,44,48,68,54,44,51,34,1
18.62835168838501,40,46,49,69,54,43,50,32,1
18.65018105506897,38,41,41,61,50,38,41,29,1
18.66604495048523,35,35,43,62,49,40,41,28,1
18.68659472465515,39,35,43,61,48,40,38,35,1
18.70899200439453,39,35,41,59,48,40,35,36,1
18.72802972793579,44,36,45,64,51,46,41,39,1
18.746605157852173,45,35,44,61,48,43,41,36,1
18.76911473274231,43,36,44,61,50,44,42,39,1
18.78624176979065,37,30,36,52,44,37,40,37,1
18.80720090866089,38,29,36,51,48,40,42,33,1
18.829087018966675,36,31,37,55,53,38,39,30,1
18.84641933441162,34,32,37,54,51,38,39,32,1
18.86690068244934,39,39,44,63,58,41,46,35,1
18.888906240463257,41,39,45,61,57,43,43,30,1
18.905821084976196,38,39,46,60,54,40,42,32,1
18.92647624015808,35,38,40,56,51,38,42,31,1
18.948851346969604,35,36,39,56,49,38,40,30,1
18.973416805267334,31,30,33,48,44,36,34,25,1
18.99410843849182,30,28,32,47,43,35,34,27,1
19.009172439575195,35,30,34,52,49,40,36,28,1
19.031480073928833,35,31,35,52,50,41,37,33,1
19.05412268638611,34,32,34,50,52,42,36,32,1
19.069023370742798,37,32,35,60,58,46,39,36,1
19.09198307991028,35,36,39,62,61,49,42,36,1
19.114509105682373,33,35,38,61,57,45,43,34,1
19.128991842269897,35,36,36,58,54,44,44,33,1
19.15153670310974,34,35,37,58,54,44,43,33,1
19.174499988555908,32,35,34,44,41,35,38,31,1
19.18956708908081,37,34,28,44,39,33,39,34,1
19.211596965789795,39,34,30,40,38,34,36,38,1
19.234033346176147,39,30,30,40,37,33,33,36,1
19.248990774154663,43,38,35,53,47,36,40,39,1
19.271458387374878,42,37,36,57,48,39,40,37,1
19.294017553329468,41,34,36,54,46,37,37,35,1
19.30954098701477,39,34,33,56,47,37,37,32,1
19.331498384475708,39,35,36,57,51,39,37,33,1
19.354126930236816,38,31,31,47,42,37,32,31,1
19.36901092529297,43,30,29,42,41,32,31,32,1
19.391228199005127,41,30,29,44,44,32,32,33,1
