,time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
0,10.585695266723633,78,89,63,72,76,51,73,112,1
1,10.604659080505371,85,95,68,81,85,57,78,124,1
2,10.626773118972778,99,111,68,77,79,52,73,116,1
3,10.644699335098267,106,117,70,75,74,50,74,118,1
4,10.665400505065918,109,122,74,84,86,60,83,119,1
5,10.687386274337769,97,109,61,73,75,58,75,101,1
6,10.712114572525024,106,111,54,69,75,62,64,106,1
7,10.724879741668701,87,87,47,70,80,67,65,104,1
8,10.747682332992554,80,79,44,70,79,66,61,105,1
9,10.764480590820312,76,71,38,62,71,58,55,105,1
10,10.785202741622925,80,76,42,66,75,61,61,104,1
11,10.807163715362549,61,62,39,59,67,51,57,87,1
12,10.824426651000977,67,69,46,63,65,48,58,92,1
13,10.844719409942627,67,71,44,61,67,46,60,91,1
14,10.867658615112305,85,115,50,60,69,49,68,103,1
15,10.884671211242676,83,113,48,54,64,46,66,99,1
16,10.905187368392944,81,114,50,66,70,52,73,96,1
17,10.929215669631958,77,111,44,58,68,53,75,94,1
18,10.944279193878174,75,110,45,59,65,54,73,91,1
19,10.9648756980896,62,70,49,75,73,54,66,89,1
20,10.987600326538086,60,65,55,85,82,57,67,89,1
21,11.004128456115723,71,88,54,75,75,53,61,93,1
22,11.032360792160034,72,91,62,83,80,54,58,90,1
23,11.047377824783325,72,94,65,84,81,55,63,92,1
24,11.064596891403198,74,110,59,74,75,56,64,90,1
25,11.084418535232544,91,131,59,63,67,55,69,111,1
26,11.108356237411499,105,159,66,67,66,53,70,119,1
27,11.124310970306396,107,157,61,64,64,54,72,118,1
28,11.145467042922974,106,157,64,78,78,61,73,115,1
29,11.16731882095337,103,148,65,79,77,58,73,109,1
30,11.184598207473755,92,137,61,78,75,56,66,89,1
31,11.204952955245972,78,101,55,75,78,61,74,93,1
32,11.227376461029053,75,103,54,76,81,61,77,101,1
33,11.243974685668945,75,100,45,61,67,54,73,99,1
34,11.264809370040894,72,94,42,56,61,53,68,111,1
35,11.28730821609497,87,107,54,67,69,60,79,132,1
36,11.305202960968018,77,98,52,66,65,54,71,117,1
37,11.32443904876709,80,95,56,62,57,51,68,113,1
38,11.346906900405884,85,99,63,75,73,61,75,125,1
39,11.364787578582764,88,101,62,74,72,59,80,114,1
40,11.385325193405151,73,82,53,65,67,57,72,96,1
41,11.407219648361206,83,105,55,68,70,68,84,111,1
42,11.42410397529602,86,110,51,67,68,67,81,112,1
43,11.4446382522583,83,110,51,53,52,59,74,104,1
44,11.46776819229126,86,119,52,49,49,60,67,106,1
45,11.489781856536865,90,122,56,50,50,56,65,96,1
46,11.51283311843872,77,97,52,48,49,45,53,91,1
47,11.527677536010742,76,99,56,55,63,50,62,97,1
48,11.549756526947021,94,115,60,61,77,60,74,100,1
49,11.57228398323059,92,106,61,64,79,62,78,99,1
50,11.587280750274658,86,98,56,64,76,60,80,100,1
51,11.610178470611572,91,100,60,68,77,61,81,105,1
52,11.633291721343994,86,90,58,68,73,62,85,97,1
53,11.647289276123047,61,64,53,73,70,52,76,90,1
54,11.671076774597168,55,55,51,73,70,50,73,85,1
55,11.692697763442993,55,58,57,76,76,55,76,93,1
56,11.707483530044556,46,56,55,72,73,52,70,73,1
57,11.730076313018799,60,81,57,67,68,48,59,72,1
58,11.752363920211792,65,82,54,57,57,48,63,80,1
59,11.767256259918213,65,83,54,59,56,46,61,81,1
60,11.789904832839966,72,86,51,64,61,48,65,77,1
61,11.812217473983765,72,87,51,63,61,52,71,83,1
62,11.827163457870483,65,82,48,62,59,53,75,79,1
63,11.849703073501587,62,84,48,65,62,54,71,75,1
64,11.872286319732666,63,86,48,62,60,54,73,80,1
65,11.887171268463135,55,79,47,59,53,59,83,105,1
66,11.909780263900757,54,80,44,57,51,54,84,111,1
67,11.932389974594116,53,67,43,57,50,55,81,110,1
68,11.954844951629639,55,67,43,48,47,57,87,131,1
69,11.969765663146973,54,67,45,52,50,57,87,128,1
70,11.992393493652344,53,75,42,43,44,45,68,104,1
71,12.015066146850586,64,94,49,57,63,61,68,97,1
72,12.030216693878174,63,96,50,65,75,70,78,110,1
73,12.052682638168335,67,97,54,72,78,68,72,87,1
74,12.074424505233765,77,97,54,76,84,70,74,99,1
75,12.089988708496094,79,92,54,78,89,73,83,102,1
76,12.112231492996216,76,76,50,72,81,61,76,103,1
77,12.135409832000732,76,71,48,66,72,53,69,103,1
78,12.150136470794678,69,69,42,60,68,49,67,101,1
79,12.172530174255371,63,73,46,61,67,48,65,88,1
80,12.194808006286621,62,76,50,63,64,42,56,82,1
81,12.209638833999634,84,113,55,61,59,41,61,99,1
82,12.23257040977478,86,116,62,71,73,52,65,86,1
83,12.255112171173096,90,115,64,76,78,55,65,84,1
84,12.2702054977417,90,115,61,67,72,53,65,90,1
85,12.292283535003662,93,118,61,65,74,58,71,92,1
86,12.31500244140625,68,81,55,65,76,61,69,73,1
87,12.329912185668945,69,76,50,62,69,52,61,69,1
88,12.360764980316162,85,90,61,74,84,68,68,99,1
89,12.375782251358032,84,89,61,81,95,75,68,96,1
90,12.390203952789307,84,91,61,81,92,71,61,97,1
91,12.412155628204346,89,94,62,81,90,70,60,100,1
92,12.434813976287842,91,97,64,81,88,72,66,112,1
93,12.449817657470703,74,84,54,68,73,57,59,86,1
94,12.472489833831787,79,96,56,63,62,53,59,102,1
95,12.49478816986084,77,91,53,60,61,53,60,101,1
96,12.509747743606567,69,87,52,67,67,56,61,99,1
97,12.533221006393433,61,82,49,63,65,54,57,86,1
98,12.554808616638184,65,85,52,65,61,55,64,89,1
99,12.571287393569946,50,64,45,68,61,53,68,71,1
100,12.592408180236816,49,57,43,67,60,53,67,80,1
101,12.615093231201172,50,53,41,60,59,55,75,78,1
102,12.629717588424683,51,51,40,59,58,55,73,81,1
103,12.653382539749146,50,43,38,59,64,52,67,82,1
104,12.674471855163574,63,64,42,60,66,56,76,92,1
105,12.68999981880188,66,67,43,59,66,60,80,88,1
106,12.712823152542114,73,72,45,61,63,56,71,94,1
107,12.735095977783203,81,80,51,64,69,57,70,96,1
108,12.749980449676514,75,79,46,59,63,57,73,96,1
109,12.772706031799316,69,73,53,60,62,50,59,86,1
110,12.7949059009552,79,86,60,70,69,51,64,98,1
111,12.809622764587402,75,86,61,71,71,50,62,88,1
112,12.832319021224976,81,92,57,68,66,48,64,92,1
113,12.85486388206482,84,94,60,69,66,47,62,90,1
114,12.871745824813843,86,94,59,70,64,47,62,95,1
115,12.892279624938965,72,82,54,66,61,45,58,91,1
116,12.914430618286133,74,80,51,67,60,46,58,95,1
117,12.937708854675293,60,70,58,75,70,53,60,91,1
118,12.952368021011353,57,64,56,76,73,55,63,91,1
119,12.975506782531738,64,72,49,69,72,59,61,95,1
120,12.997588396072388,72,75,50,72,74,58,63,94,1
121,13.011987209320068,74,76,52,76,76,59,62,101,1
122,13.035097122192383,73,72,43,66,66,53,62,96,1
123,13.058340549468994,76,76,44,66,67,54,72,98,1
124,13.072266101837158,65,63,44,67,64,48,72,88,1
125,13.094914436340332,65,67,43,59,57,48,73,90,1
126,13.118204593658447,64,72,42,52,60,49,77,81,1
127,13.132330179214478,67,73,51,68,76,57,77,83,1
128,13.154803276062012,73,84,59,74,79,60,73,88,1
129,13.178868055343628,90,97,72,96,105,74,84,94,1
130,13.192583799362183,86,93,73,98,108,74,80,82,1
131,13.214842081069946,82,84,72,97,103,71,78,78,1
132,13.237882137298584,80,87,66,86,95,70,78,82,1
133,13.252150535583496,75,80,57,78,89,66,73,78,1
134,13.27474570274353,60,61,38,51,63,57,65,78,1
135,13.29836916923523,62,64,37,51,62,56,67,80,1
136,13.311940908432007,64,70,38,56,66,58,67,91,1
137,13.334526062011719,62,64,36,53,59,51,59,84,1
138,13.358357906341553,58,56,39,55,60,49,60,79,1
139,13.372313261032104,60,62,42,59,57,46,57,78,1
140,13.395013093948364,63,67,49,69,62,55,62,80,1
141,13.41723346710205,62,66,49,66,58,54,64,76,1
142,13.4324791431427,65,68,51,68,60,56,66,76,1
143,13.454451084136963,66,71,50,71,61,56,66,77,1
144,13.478512048721313,65,69,54,75,69,59,68,73,1
145,13.49254822731018,70,81,48,61,60,49,66,82,1
146,13.515454292297363,73,83,49,63,61,49,65,93,1
147,13.53795051574707,77,87,53,73,68,50,70,98,1
148,13.552385091781616,78,85,54,73,70,50,69,100,1
149,13.575014114379883,77,90,51,63,57,42,65,98,1
150,13.598299503326416,70,73,52,70,61,45,65,90,1
151,13.612891912460327,63,66,52,73,65,50,66,72,1
152,13.63480806350708,55,58,48,79,61,51,65,65,1
153,13.658093690872192,57,59,45,83,59,55,68,62,1
154,13.672416925430298,82,71,64,93,98,80,91,61,1
155,13.694810628890991,92,84,78,151,131,94,101,67,1
156,13.718308687210083,97,100,85,183,178,117,111,68,1
157,13.73175835609436,132,146,99,227,290,173,137,84,1
158,13.755870819091797,154,165,137,287,381,234,174,106,1
159,13.778163194656372,156,172,149,324,390,235,177,109,1
160,13.79286503791809,159,173,152,328,397,241,178,104,1
161,13.815475463867188,158,166,153,332,388,240,178,101,1
162,13.837377548217773,134,129,153,313,318,208,165,92,1
163,13.86050534248352,121,122,131,280,218,146,133,65,1
164,13.875296115875244,100,99,114,241,188,132,116,57,1
165,13.897773742675781,89,88,108,211,154,118,126,67,1
166,13.920759677886963,93,98,107,179,152,107,129,70,1
167,13.934684991836548,88,95,96,162,152,99,118,62,1
168,13.957168817520142,64,68,87,133,129,84,109,59,1
169,13.980466604232788,62,66,78,120,127,82,108,55,1
170,13.994854211807251,57,59,66,114,124,74,80,41,1
171,14.017635822296143,42,37,56,118,89,54,55,38,1
172,14.040877342224121,52,47,60,119,88,52,54,42,1
173,14.054733991622925,51,43,56,103,78,47,47,41,1
174,14.07727861404419,51,44,54,100,74,48,44,42,1
175,14.10051941871643,52,52,63,97,83,52,50,45,1
176,14.115299224853516,51,51,65,84,87,52,49,42,1
177,14.137195110321045,73,68,81,120,127,91,88,52,1
178,14.160634994506836,81,76,81,126,142,104,97,53,1
179,14.174967527389526,81,76,81,129,141,105,98,54,1
180,14.197452306747437,76,68,72,123,134,101,94,47,1
181,14.220988512039185,77,70,75,133,134,104,96,47,1
182,14.234479188919067,52,52,58,119,98,75,65,42,1
183,14.257379531860352,44,47,57,117,82,63,57,42,1
184,14.280560493469238,47,51,64,123,94,65,64,43,1
185,14.294658660888672,48,52,72,139,107,69,64,44,1
186,14.317283153533936,51,50,75,148,108,67,65,44,1
187,14.340728044509888,49,45,67,126,91,57,60,37,1
188,15.203161001205444,28,33,33,40,41,37,37,37,2
189,15.217430353164673,27,33,33,39,40,50,47,40,2
190,15.241149187088013,27,33,32,37,35,51,47,38,2
191,15.263495922088623,22,27,31,36,31,47,41,32,2
192,15.277307033538818,22,25,28,36,32,50,44,31,2
193,15.300731897354126,23,24,27,39,34,45,42,31,2
194,15.322946310043335,24,24,29,38,34,33,33,30,2
195,15.33730435371399,25,26,29,39,36,32,32,30,2
196,15.360852003097534,27,33,34,42,40,37,40,38,2
197,15.383160829544067,26,32,33,41,38,35,36,39,2
198,15.397621154785156,25,32,32,36,35,36,37,39,2
199,15.420598268508911,28,34,33,41,42,40,39,37,2
200,15.443074941635132,30,36,34,41,45,36,40,40,2
201,15.457393169403076,29,30,31,38,43,33,35,32,2
202,15.480438470840454,32,35,38,49,54,42,43,40,2
203,15.502797842025757,32,35,38,50,54,47,44,40,2
204,15.51772952079773,35,38,42,54,52,47,47,40,2
