,time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
0,11.221346855163574,39,33,44,152,81,76,219,64,2
1,11.245496988296509,39,30,40,136,76,73,206,64,2
2,11.273613452911377,35,26,35,136,83,74,214,59,2
3,11.283273458480835,39,29,38,146,79,70,222,41,2
4,11.28976035118103,38,29,41,144,73,58,197,38,2
5,11.291043996810913,40,35,45,133,66,61,196,38,2
6,11.296623706817627,40,36,45,150,78,65,201,39,2
7,11.303409337997437,40,35,46,155,84,71,216,35,2
8,11.310905694961548,36,35,46,131,86,78,195,37,2
9,11.319064378738403,33,35,45,135,84,77,189,37,2
10,11.326012134552002,34,30,44,156,90,72,178,34,2
11,11.333486795425415,35,31,46,149,87,72,189,34,2
12,11.356767892837524,40,33,45,145,73,74,175,42,2
13,11.371366024017334,39,30,40,144,67,70,185,44,2
14,11.393954753875732,39,29,41,192,69,70,181,44,2
15,11.416721820831299,38,29,40,188,86,71,181,45,2
16,11.431050777435303,39,29,38,187,85,74,230,48,2
17,11.453904867172241,41,32,40,187,85,62,230,48,2
18,11.476690769195557,39,34,43,195,99,56,207,44,2
19,11.491059303283691,38,34,38,164,101,56,207,43,2
20,11.513549089431763,38,33,34,152,82,56,210,44,2
21,11.53711748123169,36,36,36,147,80,56,170,43,2
22,11.551060438156128,29,33,32,148,86,64,178,39,2
23,11.573503255844116,31,30,33,142,72,67,183,41,2
24,11.59663724899292,30,31,35,141,106,71,183,41,2
25,11.611010789871216,29,35,40,140,110,73,182,41,2
26,11.633867979049683,28,32,44,148,121,91,239,43,2
27,11.656605958938599,30,32,46,149,117,84,220,44,2
28,11.671004295349121,31,34,44,146,119,82,217,43,2
29,11.693596124649048,31,32,46,122,87,80,222,44,2
30,11.71678900718689,33,30,42,118,82,79,223,44,2
31,11.731030464172363,33,35,38,122,65,51,128,45,2
32,11.753724098205566,31,34,37,130,69,48,105,41,2
33,11.776937484741211,31,33,39,145,64,72,195,41,2
34,11.791362524032593,44,38,38,140,70,72,225,54,2
35,11.81325626373291,51,36,36,138,67,72,229,59,2
36,11.836822748184204,50,31,34,132,64,70,228,56,2
37,11.85100531578064,50,29,30,130,65,71,228,56,2
38,11.873587131500244,48,32,29,122,72,47,157,56,2
39,11.896801471710205,38,26,30,120,65,45,132,46,2
40,11.919256210327148,28,26,34,123,78,53,166,39,2
41,11.933444261550903,28,28,38,137,79,55,179,40,2
42,11.956753253936768,29,28,38,156,76,54,179,39,2
43,11.979207754135132,33,25,42,148,92,56,176,39,2
44,11.993029117584229,31,25,40,151,91,52,151,37,2
45,12.017016410827637,31,24,37,177,87,41,95,33,2
46,12.039288759231567,31,25,33,165,96,86,219,34,2
47,12.053779125213623,39,32,38,153,98,91,236,45,2
48,12.076231241226196,38,30,33,148,83,91,242,48,2
49,12.099644422531128,39,31,31,145,81,91,244,48,2
50,12.113652229309082,38,29,33,106,75,92,256,46,2
51,12.136891603469849,40,31,35,108,58,52,149,50,2
52,12.159332752227783,33,27,37,119,65,40,123,42,2
53,12.173881769180298,33,28,39,130,61,54,154,41,2
54,12.204153299331665,32,27,41,131,78,64,165,41,2
55,12.219870567321777,34,31,41,131,79,71,170,47,2
56,12.233609676361084,29,27,38,146,80,71,166,40,2
57,12.25685429573059,30,30,41,125,82,75,167,41,2
58,12.279408931732178,29,29,38,113,86,69,153,38,2
59,12.293703079223633,39,31,38,104,69,68,166,40,2
60,12.316777467727661,38,28,37,132,72,59,145,33,2
61,12.339225053787231,39,28,39,118,76,58,144,35,2
62,12.353703737258911,37,25,31,113,67,55,139,32,2
63,12.376051902770996,36,25,31,112,68,49,123,30,2
64,12.399450540542603,29,23,28,119,74,44,118,27,2
65,12.41358208656311,29,26,30,90,70,44,138,32,2
66,12.436872005462646,30,34,36,133,79,48,149,38,2
