,time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
0,60.409523248672485,35,31,42,10,63,43,42,29,1
1,60.40953874588013,35,31,42,10,63,43,42,29,1
2,71.42782354354858,49,43,54,11,107,61,60,39,1
3,71.44281482696533,51,42,52,11,103,60,58,39,1
4,71.46536350250244,58,51,54,11,114,68,66,44,1
5,71.58537554740906,42,44,38,10,102,71,62,37,1
6,71.60805344581604,42,45,45,10,107,72,62,37,1
7,71.62238502502441,41,45,42,10,111,73,62,38,1
8,71.64488792419434,34,39,46,10,109,61,53,37,1
9,71.66794037818909,35,40,46,10,106,58,49,35,1
10,71.68307781219482,37,41,48,11,101,53,47,37,1
11,71.70536184310913,42,47,53,11,115,62,53,38,1
12,71.72846364974976,49,53,62,11,142,84,68,48,1
13,71.74330759048462,48,50,59,11,141,83,67,45,1
14,71.76568007469177,47,50,61,11,146,85,67,46,1
15,71.78782415390015,48,55,63,10,151,90,74,46,1
16,71.81130003929138,42,47,57,10,137,85,69,46,1
17,71.8258810043335,35,43,51,10,114,69,62,38,1
18,71.84796285629272,38,45,50,11,115,67,60,39,1
19,71.86276507377625,41,45,48,11,112,65,59,38,1
20,71.8860764503479,40,40,48,11,131,76,61,41,1
21,71.90784764289856,42,41,46,10,128,71,58,40,1
22,71.92279481887817,40,42,45,10,119,65,53,36,1
23,71.94539070129395,36,38,49,10,117,64,53,37,1
24,71.96779799461365,36,39,52,10,116,68,55,38,1
25,71.98230195045471,33,39,46,10,90,49,44,33,1
26,72.00574040412903,34,39,43,11,92,51,46,30,1
27,72.02781915664673,35,34,40,10,95,50,44,30,1
28,72.04286861419678,40,39,39,10,94,55,49,35,1
29,72.06481218338013,40,38,37,10,92,55,51,36,1
30,72.0882682800293,41,35,38,9,88,53,49,36,1
31,72.11124849319458,40,36,40,9,89,55,50,41,1
32,72.12573599815369,43,41,48,9,107,71,65,45,1
33,72.14859104156494,42,39,46,9,100,68,63,42,1
34,72.17114210128784,43,41,49,9,114,74,64,47,1
35,72.18533635139465,45,43,53,9,119,75,65,48,1
36,72.20786571502686,46,40,52,10,114,72,62,43,1
