,time,chanel1,chanel2,chanel3,chanel4,chanel5,chanel6,chanel7,chanel8,position
0,15.584529638290405,249,273,142,119,84,343,489,94,1
1,15.605167388916016,234,302,154,125,73,298,539,92,1
2,15.626064538955688,288,386,202,152,86,240,566,112,1
3,15.648050785064697,292,439,233,163,92,310,607,119,1
4,15.670397520065308,276,445,235,165,103,323,629,119,1
5,15.687628984451294,269,447,239,164,107,314,619,116,1
6,15.710891246795654,298,466,267,181,108,341,633,131,1
7,15.732933282852173,261,437,251,171,102,355,631,128,1
8,18.15358591079712,227,385,183,111,97,189,405,113,1
9,18.1787428855896,200,347,176,105,93,188,411,113,1
10,18.205692291259766,200,331,169,109,102,193,394,112,1
11,18.31956911087036,291,387,221,150,105,246,550,96,1
12,18.343360662460327,290,400,217,148,103,247,545,115,1
13,18.371214151382446,287,387,209,162,128,237,529,115,1
14,18.39385151863098,311,373,194,152,128,225,532,114,1
15,18.42342734336853,299,371,189,148,135,205,522,128,1
16,18.445897340774536,261,340,163,127,130,179,419,119,1
17,18.469318389892578,312,357,182,150,141,189,520,104,1
18,18.498669862747192,315,348,173,131,113,181,504,106,1
19,18.520951747894287,279,309,159,122,107,184,492,103,1
20,18.545462369918823,263,335,177,156,120,208,518,80,1
21,18.57326865196228,263,354,177,165,130,213,512,80,1
22,18.59793710708618,225,339,165,147,115,210,518,84,1
23,18.62590742111206,273,365,185,159,132,228,567,91,1
24,18.6486873626709,281,376,196,161,134,223,586,103,1
25,18.678797245025635,296,346,173,130,119,227,589,99,1
26,18.70087242126465,298,329,172,119,110,243,583,103,1
27,18.725507259368896,284,309,170,101,110,244,483,96,1
28,18.76094341278076,234,315,185,81,100,249,506,92,1
29,18.775856018066406,235,317,178,91,93,264,495,82,1
30,18.80125093460083,225,330,187,93,94,244,478,82,1
31,18.8283793926239,217,333,189,97,92,218,484,81,1
32,18.853052854537964,221,349,193,139,97,267,568,86,1
33,18.88092875480652,266,362,191,189,102,264,551,88,1
34,18.903403997421265,251,355,186,189,106,261,551,84,1
35,18.93346357345581,246,335,176,183,99,257,525,88,1
36,18.95582413673401,258,311,164,182,94,257,512,84,1
37,18.978604793548584,242,273,148,158,85,195,447,84,1
38,19.007911443710327,202,213,114,98,77,176,393,86,1
39,19.030420064926147,193,206,115,97,75,156,378,86,1
40,19.06089472770691,192,220,153,109,84,143,444,86,1
41,19.08346128463745,172,218,157,108,87,131,443,86,1
42,19.113487720489502,170,219,153,103,85,163,472,95,1
43,19.136185884475708,160,197,149,105,77,151,466,88,1
44,19.158592700958252,180,230,153,111,79,158,468,104,1
45,19.18843650817871,174,223,121,98,71,188,438,98,1
46,19.210437297821045,176,239,125,105,78,189,433,99,1
47,19.241164445877075,178,257,122,103,79,161,348,86,1
48,19.263470888137817,202,259,122,100,79,165,328,89,1
49,19.287718296051025,188,233,117,108,85,157,298,66,1
50,19.31640887260437,172,216,112,109,83,151,268,68,1
51,19.338352918624878,164,198,99,114,78,166,269,69,1
52,19.363754987716675,160,197,107,124,82,172,268,62,1
53,19.390809774398804,113,188,99,123,84,167,287,51,1
54,19.41562247276306,114,222,106,113,76,158,286,53,1
55,19.444525718688965,110,214,98,114,80,159,283,53,1
56,19.46600031852722,112,227,105,110,76,145,299,51,1
57,19.496078729629517,94,201,97,104,74,135,290,52,1
58,19.518038749694824,127,222,104,105,73,148,284,53,1
59,19.54252815246582,133,187,98,97,77,159,276,52,1
60,19.570797443389893,129,183,97,95,73,130,238,53,1
61,19.593287467956543,135,170,98,93,76,130,218,49,1
62,19.623428106307983,164,177,97,106,73,130,237,56,1
63,19.645522117614746,140,149,92,106,76,120,212,59,1
64,19.669578313827515,125,142,85,111,66,104,207,59,1
65,19.69890856742859,135,166,98,122,76,114,219,60,1
66,19.7209050655365,140,165,96,118,83,123,225,59,1
67,19.751026391983032,128,162,100,106,99,128,221,55,1
68,19.773487091064453,129,165,100,102,94,122,244,53,1
69,19.800360202789307,130,156,94,88,96,122,234,52,1
70,19.82622504234314,127,153,98,74,90,124,235,51,1
71,19.85024380683899,111,147,96,84,87,124,237,53,1
72,19.879648208618164,88,155,99,81,73,117,233,51,1
73,19.90095019340515,87,152,100,82,78,117,208,50,1
74,19.93118929862976,93,163,103,98,82,128,214,49,1
75,19.953402280807495,92,170,119,102,88,133,278,49,1
76,19.97581171989441,92,169,114,117,98,149,310,56,1
